,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8615751266479492,[0.55900621],[0.45186335],0.8709326852113008,[0.5469697],[0.40454545],0.8631262164562941,[0.53484848],[0.54242424]
1,2,0.7823756635189056,[0.60248447],[0.52950311],0.8248938331380486,[0.58181818],[0.43181818],0.8100449568592012,[0.51363636],[0.5969697]
2,3,0.7913615852594376,[0.6568323],[0.61490683],0.8555671365465969,[0.59318182],[0.47878788],0.8381312747951597,[0.54772727],[0.61969697]
3,4,0.8059345185756683,[0.72204969],[0.67701863],0.8807063985150307,[0.60378788],[0.4969697],0.8632686536293477,[0.58106061],[0.63636364]
4,5,0.7900028824806213,[0.71118012],[0.70341615],0.8634619829244912,[0.59242424],[0.50909091],0.8477984245400876,[0.59242424],[0.65606061]
5,6,0.7602359652519226,[0.74068323],[0.73602484],0.8207683013752103,[0.58106061],[0.50909091],0.8092731963843107,[0.59242424],[0.66212121]
6,7,0.7585363984107971,[0.73757764],[0.7484472],0.8077454729937017,[0.60227273],[0.55606061],0.8008635309524834,[0.51136364],[0.67424242]
7,8,0.7803880870342255,[0.73602484],[0.77795031],0.8188119512051344,[0.61439394],[0.57575758],0.8173137265257537,[0.58030303],[0.65606061]
8,9,0.7658016979694366,[0.75776398],[0.79658385],0.8102529528550804,[0.61439394],[0.58636364],0.809617220889777,[0.525],[0.6530303]
9,10,0.7389453053474426,[0.73602484],[0.78881988],0.8004896868951619,[0.61363636],[0.56818182],0.7975094900466502,[0.55757576],[0.6469697]
10,11,0.7382068932056427,[0.72981366],[0.77484472],0.8155289166606963,[0.625],[0.55151515],0.8108226431068033,[0.5469697],[0.65]
11,12,0.7459763884544373,[0.71583851],[0.7810559],0.8336620170157403,[0.63636364],[0.55757576],0.8285075533203781,[0.51439394],[0.64393939]
12,13,0.7347398102283478,[0.72515528],[0.78726708],0.8206784315407276,[0.63636364],[0.56515152],0.8178490081336349,[0.53636364],[0.6469697]
13,14,0.7243740558624268,[0.75776398],[0.79968944],0.8073528902605176,[0.63636364],[0.57878788],0.8071795417927206,[0.51363636],[0.6469697]
14,15,0.7165882885456085,[0.77950311],[0.81677019],0.792421399615705,[0.625],[0.61060606],0.7962197321467102,[0.5469697],[0.63939394]
15,16,0.7147554457187653,[0.80434783],[0.82298137],0.7879068199545145,[0.625],[0.63030303],0.7947453656233847,[0.5469697],[0.64090909]
16,17,0.7127473056316376,[0.81521739],[0.83229814],0.7863402939401567,[0.62878788],[0.63939394],0.7954178475774825,[0.59393939],[0.64545455]
17,18,0.7075425982475281,[0.81521739],[0.83850932],0.7849675891920924,[0.61742424],[0.64090909],0.7953292443417013,[0.59393939],[0.65151515]
18,19,0.6987822353839874,[0.79037267],[0.83695652],0.7882636687718332,[0.62575758],[0.63939394],0.7972954157739878,[0.55833333],[0.64090909]
19,20,0.6952788531780243,[0.79037267],[0.83695652],0.7937803433742374,[0.62575758],[0.64393939],0.802585010882467,[0.56969697],[0.63939394]
20,21,0.6921297013759613,[0.79037267],[0.84006211],0.7971390471793711,[0.62575758],[0.6469697],0.8065369182731956,[0.56969697],[0.63787879]
21,22,0.6862838268280029,[0.77950311],[0.8447205],0.7927219206467271,[0.63712121],[0.65454545],0.8041567832697183,[0.56969697],[0.6469697]
22,23,0.6802836060523987,[0.79813665],[0.85093168],0.7836674591526389,[0.65378788],[0.66363636],0.7987388416659087,[0.64015152],[0.64848485]
23,24,0.6787354946136475,[0.78726708],[0.85093168],0.7783887046389282,[0.65378788],[0.66060606],0.7973829009570181,[0.65151515],[0.65151515]
24,25,0.6727753579616547,[0.79503106],[0.85403727],0.7795029543340206,[0.65378788],[0.65757576],0.7987042341846973,[0.65227273],[0.64393939]
25,26,0.668130561709404,[0.79813665],[0.85714286],0.781285222619772,[0.65378788],[0.65],0.8007748711388558,[0.61893939],[0.64848485]
26,27,0.6645343005657196,[0.80900621],[0.85714286],0.7843957731965929,[0.64242424],[0.6469697],0.8041001164820045,[0.61893939],[0.64545455]
27,28,0.6612648963928223,[0.80900621],[0.86180124],0.7853597633074969,[0.64242424],[0.65],0.8060448342002928,[0.61893939],[0.64393939]
28,29,0.6583293080329895,[0.80900621],[0.86490683],0.7867634519934654,[0.64318182],[0.65454545],0.808259081793949,[0.61893939],[0.63787879]
29,30,0.6550830900669098,[0.80900621],[0.86645963],0.7861676884349436,[0.64318182],[0.65606061],0.8089837720617652,[0.5969697],[0.63636364]
30,31,0.6512065827846527,[0.79813665],[0.86490683],0.7804882891941816,[0.64318182],[0.66060606],0.8061893191188574,[0.5969697],[0.63181818]
31,32,0.6495035290718079,[0.79503106],[0.86645963],0.7757354695349932,[0.64772727],[0.66363636],0.8047226544003934,[0.55833333],[0.62878788]
32,33,0.6468669772148132,[0.80279503],[0.86801242],0.7752228658646345,[0.64772727],[0.66666667],0.805381529731676,[0.5469697],[0.62727273]
33,34,0.6424082517623901,[0.80590062],[0.87267081],0.7788820078130811,[0.64772727],[0.66363636],0.8079611212015152,[0.55833333],[0.62424242]
34,35,0.6395590007305145,[0.80900621],[0.87732919],0.7788321177940816,[0.64772727],[0.67424242],0.8086414283607155,[0.5469697],[0.62272727]
35,36,0.6370200216770172,[0.82763975],[0.88043478],0.7824309766292572,[0.64772727],[0.67121212],0.8117691841907799,[0.5469697],[0.61818182]
36,37,0.6353819072246552,[0.82763975],[0.88819876],0.7869086076971143,[0.64318182],[0.66969697],0.8157604360021651,[0.60833333],[0.61666667]
37,38,0.6323138773441315,[0.82763975],[0.88975155],0.7851657122373581,[0.64772727],[0.67272727],0.815272303763777,[0.55833333],[0.61060606]
38,39,0.6290049254894257,[0.82763975],[0.88819876],0.7783722002059221,[0.64772727],[0.67878788],0.8113197269849479,[0.55833333],[0.61666667]
39,40,0.6274766027927399,[0.82763975],[0.88819876],0.7745998008176684,[0.64772727],[0.68030303],0.809925873298198,[0.55833333],[0.61060606]
40,41,0.6242638826370239,[0.83850932],[0.89440994],0.776676444336772,[0.64772727],[0.68181818],0.8114258123096079,[0.55833333],[0.61212121]
41,42,0.6225268244743347,[0.83850932],[0.89596273],0.7744751791469753,[0.64318182],[0.67727273],0.8109449918847531,[0.60833333],[0.60909091]
42,43,0.6194627285003662,[0.83850932],[0.89596273],0.778698067413643,[0.64393939],[0.68181818],0.8140446045435965,[0.59772727],[0.60909091]
43,44,0.6174550354480743,[0.83850932],[0.89906832],0.7809289558790624,[0.64393939],[0.68030303],0.8160266217309982,[0.59772727],[0.61060606]
44,45,0.6152151823043823,[0.83850932],[0.90372671],0.7800730285234749,[0.64393939],[0.67424242],0.8159995652968064,[0.58636364],[0.61060606]
45,46,0.6130002439022064,[0.83850932],[0.90217391],0.7768356364686042,[0.64393939],[0.67424242],0.8143838439136744,[0.575],[0.60757576]
46,47,0.6111732423305511,[0.83850932],[0.90838509],0.7805986211169511,[0.64393939],[0.67424242],0.8174553990829736,[0.575],[0.60757576]
47,48,0.6098417937755585,[0.83850932],[0.90993789],0.783645682502538,[0.64393939],[0.67727273],0.8202714495128021,[0.575],[0.60757576]
48,49,0.6071604490280151,[0.8447205],[0.91149068],0.7795020209159702,[0.65454545],[0.67878788],0.8178276396356523,[0.575],[0.60454545]
49,50,0.6065906584262848,[0.83850932],[0.90838509],0.7714085362385958,[0.65454545],[0.68030303],0.813489937223494,[0.575],[0.60606061]
50,51,0.6056399643421173,[0.83850932],[0.90838509],0.7703387578949332,[0.65454545],[0.67878788],0.8135818659793586,[0.60833333],[0.60606061]
51,52,0.6016292870044708,[0.8447205],[0.91149068],0.773745903512463,[0.65454545],[0.67575758],0.8155435313237831,[0.575],[0.60606061]
52,53,0.5997879207134247,[0.8447205],[0.91614907],0.7793984431773424,[0.66515152],[0.68030303],0.8197501986287534,[0.5969697],[0.6030303]
53,54,0.5980245023965836,[0.8447205],[0.91614907],0.7791013764217496,[0.67651515],[0.67878788],0.8200362090719864,[0.5969697],[0.60151515]
54,55,0.5970525443553925,[0.8447205],[0.91770186],0.7825947522651404,[0.67651515],[0.68030303],0.823019499424845,[0.5969697],[0.6030303]
55,56,0.5949883162975311,[0.84937888],[0.91925466],0.7807070075068623,[0.67651515],[0.67727273],0.8221349662635475,[0.5969697],[0.60151515]
56,57,0.5927321016788483,[0.84937888],[0.91770186],0.7746314711403102,[0.67651515],[0.67272727],0.8183710468001664,[0.5969697],[0.59848485]
57,58,0.5915869176387787,[0.84937888],[0.91614907],0.7714521086309105,[0.67651515],[0.67424242],0.8169648654293269,[0.5969697],[0.59242424]
58,59,0.5898450016975403,[0.84937888],[0.91770186],0.7717176752630621,[0.67651515],[0.67424242],0.8176384539110586,[0.5969697],[0.59242424]
59,60,0.5880498290061951,[0.84937888],[0.92080745],0.7761458191089332,[0.67651515],[0.67727273],0.820982180768624,[0.5969697],[0.59393939]
60,61,0.5864753723144531,[0.85248447],[0.92236025],0.7754166922532022,[0.67651515],[0.67727273],0.8209140916587785,[0.5969697],[0.59393939]
61,62,0.5850479602813721,[0.85248447],[0.92391304],0.7760035120882094,[0.67651515],[0.67727273],0.821791221969761,[0.5969697],[0.59242424]
